prov_ref,prov_descr
P194759,placa craneal para hipofisis
P194771,placa fijacion p/craneoto. recta 2 aguje
P194772,placa fijacion p/craneoto. recta 4 aguje
P194773,placa fijacion p/craneoto. cuadrada 4agu
P194774,placa de trepano p/fijacion craneal
P194775,placa fijacion p/craneoto. recta 8agujer
P194776,placa fijacion p/craneotomia doble y
P194777,malla fijacion p/craneotomia 6x6cm
P194783,columna tornillo pedicular poliaxial
P194799,tobillo kit fijador meadiafisario
P194800,tobillo kit fijador articulado
P194837,hombro base glenoidea invertida 25mm
P194838,hombro cabeza invertida versa-dial
P194840,hombro base humeral compresiva invertida
P194841,hombro tornillo metaglena posterior comp
P194842,hombro tornillo metaglena periferico com
P194843,hombro inserto humeral polietileno
P194846,rodilla fijador externo fad procallus
P194848,osteo placa acortamiento cubito distal
P194918,tendon aquileo con hueso > = 15 cm
P194971,"cresta iliaca tricortical 1,5 x 3cm"
P194974,hombro metaglena
P194976,hombro tornillo sin bloqueo
P194979,hombro vastago modular
P194982,substitutivo oseo con gentamicina 10ml
P194983,substitutivo oseo con gentamicina 5ml
P194984,substitutivo oseo con vancomicina 10ml
P194985,substitutivo oseo 10ml
P194986,substitutivo oseo 5ml
P194988,implante mamario lisa redonda
P194989,hombro base glenoidea
P194990,hombro cabeza glenoidea 36mm
P195,p195 - hapc basal + orina pre + test acth
P195031,hombro cobertura humeral
P195032,hombro tornillo titanio  5x30mm
P195033,hombro enlace humeral
P195281,cadera acetabulo
P195282,cadera vastago no cementado l50
P195283,cadera tornillo fijacion
P195284,cadera tornillo esponjosa
P195285,"cadera tornillo cortical 4,5x16mm"
P195288,coil platino tungsteno optima super soft
P195293,p. vascular tubul rect hibrida ptfe poli
P195298,restrictor de cemento biodegradable
P195314,cemento c/vancomicina y gentamicina 43gr
P195470,"valvula lcr delta pequena nivel 0,5"
P195471,valvula lcr delta infantil nivel 1.0
P195472,valvula delta presion media alta
P195473,valvula delta presion alta
P195477,columna espaciador intersomatico titanio
P195480,artro anclaje de sutura roscado
P195491,mamaria base lisa redonda
P195908,"tornillo 2,9 autorroscante"
P195909,placa recta 30 agujeros
P195948,esfinter urinario artificial un balon
P195949,esfinter urinario artificial dos balones
P196,p196 - hapc orina post
P196243,"broca flexible corticales duras 1,3mm"
P196245,"broca flexible bloqueo brocado 1,8mm"
P196337,osteo placa guia personaliza ortognatica
P196338,osteo placa l
P196339,osteo placa recta
P196341,clip titanio standard permanente
P196342,clip titanio standard fenestrado
P196343,clip titanio standard mini permanente
P196376,osteo placa radio distal pl-va-lcp
P196386,malla laparoscopica autofijante
P196387,malla eliptica precortada/rectangular
P196515,osteo hombro invertida epifisis
P196519,osteo anclaje kit clavicula
P196625,"tobillo tornillo cortical bloqueado4,5mm"
P196627,"tobillo tornillo esponjosa 5,5mm"
P196656,pie kit grapa compresion continua
P196665,pie grapa memoria compresion continua
P196669,pie grapa memoria compresion continua
P196673,sistema placa fusion tobillo posterior
P196677,"tobillo tornillo cortica no bloque 4,5mm"
P196699,"pie tornillo canulado sin cabeza 5,5mm"
P196700,"pie tornillo canulado sin cabeza 7,5mm"
P196712,"pie aguja kirschner 1,6mm y 2,5mm"
P196713,tobillo componente talar resurfacing
P196715,tobillo componente meniscal polietileno
P196716,tobillo componente tibial concavidad inf
P196729,"pie tornillo autorrompible 2,0mm cortica"
P196730,"pie tornillo autorrompible 2,7mm cortica"
P196731,pie placa titanio anatomica bajo perfil
P196732,"pie tornillo rosca parcial/complet 2,7mm"
P196734,"pie tornillo rosca parcial/complet 3,5mm"
P196737,pie placa titanio anatomica bajo perfil
P196738,aguja kirschner acero inoxidable
P196767,"pie placa reconst. mediopie 2,7mm revisi"
P196768,"pie placa reconst. mediopie 2,7mm-3,5mm"
P196809,anillo aortico haart 19mm
P196810,anillo aortico haart 21mm
P196843,columna placa occipital pequena
P196861,anillo aortico haart 23mm
P196863,sistema de micro-bypass trabecular
P196893,osteo implante de peek craneal
P196897,osteo micromalla de titanio 2x2 agujeros
P196948,hombro kit instrumental latarjet
P196949,hombro tornillo latarjet 38mm
P197116,stent e-ventus expandible por balon
P197304,kit valvula hidrocefalia programable
P197524,electrodo 1/2 bobinas p/desf monocameral
P197628,columna conector iliaco
P197629,cadera cotilo retentiv cement/constr
P197630,placa fijacion p/craneot herradura
P197631,placa fijacion p/craneot cuadrada 9mm
P197632,osteo clavo perforante
P197642,desfibrilador monocameral aut. ganancia
P197643,desfibrilador monocameral aut. ganancia
P197644,rodilla patela no cementada
P197752,hombro implante cuerpo proximal
P197760,osteo aguja kirschner esteril
P197762,osteo placa artrodesis total
P197763,osteo tornillo hexalobe multiscrew
P197764,osteo placa bloqueo muneca fusion recta
P197871,lamela endotelial per dsaek cultivada
P197876,fijador ext modular-articulacion delta
P197877,fijador ext modular-barras de union
P197878,fijador externo garra 5 orificios
P197879,fijador externo modular poste recto
P197880,fijador externo modular poste angulado
P197902,fijador ext modular barra curva semicirc
P198079,sistema generador marcapasos vvi-r monoc
P198080,sistema generador bicameral 8cc c/sensor
P198109,generador marcapaso bicameral
P198116,columna espaciador intersomatico lateral
P198118,tobillo fijador externo kit de patin
P198121,"sistema generador monocameral 7,5cc"
P198285,implante craneofacial mediano peek
P198286,placa pequena x
P198287,matrix placa pequena
P198312,micro barra de conexion hoffman ii carbo
P198313,implante orbitario esteril titanio
P198338,osteo clavo tibial
P198349,osteo placa coronoides
P198405,electrodo percutaneo octopolar
P198527,columna caja intersomatica lumbar curva
P198624,lente intraocular faquica fijable a iris
P198742,generador recargable 16 polos
P198744,lente intraocular hidrofobica biconvexa
P199164,osteo implante sindesmosis acero
P199302,stent supraflex cruz sirolimus co
P199358,cadera cabeza metalica s-rom
P199359,cadera vaina estandar s-rom
P199374,cadera vastago estandar
P199377,cadera cabeza ceramica
P199788,malla no absorbible polipropilen 35x10cm
P199807,stent uretral
P199916,dispositivo incontinencia regulable
P199958,stent drenaje pancreatico
P199959,p. vascular tubul rect ptfe 8mmx40cm ref
P199960,p. vascular tubul rect ptfe 8mmx70cm ref
P199961,p. vascular tubul rect ptfe 6mmx40cm s/r
P1FCD1,projecte 1 fibrosi cardiaca dia 1
P1FCD180,projecte 1 fibrosi cardiaca dia 180
P1FCD3,projecte 1 fibrosi cardiaca dia 3
P1FCD7,projecte 1 fibrosi cardiaca dia 7
P1M,"""ascaris (p1)  suero | """"ascaris (p1)  serum"""" | ascaris (p1)  serum"""
P1V1,p1v1 - screening / visit 1
P1V2,p1v2 - visit 2 day -1
P1V2D1,p1v2d1 - visit 2 day 1
P1V2D2,p1v2d2 - visit 2 day 2
P1V2D3A,p1v2d3a - visit 2 day 3
P1V2D3B,p1v2d3b - visit 2 day 3 (24h after dose)
P1V3,p1v3 - visit 3 follow-up
P200071,generador impulso park c/sensor cerebral
P200072,programador pac generador sensor cerebr
P200074,pla extension fijador externo
P200075,arco pie doble hilera fijador externo
P200076,cadera cotilo multihole
P200077,cadera inserto pe x-linked
P200079,cadera aumento trabeculink
P200080,cadera tornillo de fijacion
P200091,stent laringeo montgomery lacs
P200092,fijador externo perno conector agujas
P200093,fijador externo poste hoffmann lrf
P200095,fijador externo aro abierto aluminio
P200253,inserto chronos cuneiforme
P200254,hombro base anclaje humeral ta6v easytec
P200255,hombro doble tapa ta6v easytech
P200256,hombro cabeza de compesacion humeral coc
P200297,pols cortical mineralitzalitzat
P200298,osteo placa ortognatica ips maxilar ment
P200300,artro matriz sustentadora hyalofast2x2cm
P200324,fijador externo tuerca hoffmann lrf
P200325,hombro vastago
P200327,hombro inversa cupula humeral
P200328,hombro inversa glenosfera acero
P200329,hombro inversa inserto humeral
P200330,hombro inversa base glenoidea helicoidal
P200331,hombro tornillo esponjosa
P200446,osteo pack femoral fns
P200529,cadera cabeza versys cr-co cono
P200566,matriu dermica descel. fina 3x3 cm
P200567,polvo cortical desmineralizado 1cc
P200608,fijador externo espaciador 30mm
P200609,fijador externo barra rapid strut
P200625,placa trepano pequena perfil 0
P200674,osteo placa titanio femur corta derecha
P200792,sist.valvula ventric-periton de presion
P200793,sist.valvula ventric-periton de presion
P200794,reservorio tipo ommaya implantable
P200795,conector recto plastico/metal p/valvula
P200796,conector en y plastico/metal 3 vias
P200797,conector acodado plastico/metal p/valvul
P200798,cateter peritoneal silicona radiopaco
P200849,columna tuerca romeo
P200850,columna tornillo pedicular poliaxial
P200852,stent advantav12 recubierto ptfe
P200871,columna barra titanio precurvada romeo
P200872,columna tornillo poliaxial cementado
P200873,columna canula  para cementacion romeo
P200874,columna resina acrilica radiopaca 18g
P200977,cable conexion extension simple 1x8 30cm
P200979,electrodo octrode  3mm l 4mm 30 cm
P200991,kit cabezal fase prueba invisible trial
P200992,extension intraoperativa invisible trial
P200993,mando programador paciente infinity proc
P200994,anclaje swift lock  electrodo neuroestim
P200995,generador de estimulos proclaim elite 7
P200996,generador de estimulos proclaim elite 5
P201124,osteo placa ips media mandibula
P201201,sistema de valvula lotus edge 23mm
P201202,sistema de valvula lotus edge 25mm
P201225,mamaria redonda gel b lite micro
P201226,mamaria anatomica gel b lite micro
P201254,kit relleno uretral no reabsorbible
P201323,"osteo tornillo canulado 6- 6,5mm timax"
P201325,osteo tornillo canulado 7-8 mm timax
P201326,osteo arandela tornillo canulado timax
P201354,columna tornillo pedicular poliaxial tit
P201355,columna barra percutanea pre-curvada
P201356,osteo tornillo compresion nexis
P201357,osteo tornillo snap- off nexis
P201358,osteo aguja kirschner 1 x 80mm
P201380,stent farmacoactivo cr-co sirolimus
P201385,tuerca distraccion cabeza cuadrada 10mm
P201387,columna tornillo pedicular poliaxial mos
P201388,columna cabez poliaxial estandar
P201389,columna tuerca bloqueo moss 100
P201392,columna barra pre doblada moss ti
P201393,columna telix k ti caja
P201427,columna barra recta mis ti
P201428,columna barra curva mis ti
P201640,equipo programador de paciente ecp
P201661,kit reparacio biceps distal
P201746,electrodo 977d260 trial 5mm compact 1x8
P201783,kit valvula aortica transcateter
P201798,mano vastago metacarpiano maia (no7-10)
P201799,mano cuello decalado (tallas m-l-xl)
P201800,mano cupula trapezio nucleo std i retent
P201950,conector barra paralelo 5.5x5.5mm t-t
P202027,fijador ext modular hofmann ii mri
P202028,hombro anillo de bloqueo
P202029,rodilla vastago clavo artrodesis cementa
P202030,rodilla componente femoral attune crs
P202041,rodilla componente tibial attune
P202042,rodilla vaina femoral attune
P202043,rodilla vaina tibial attune
P202044,rodilla vastago tibial / femoral attune
P202045,rodilla polietileno attune
P202047,rodilla augmento femoral attune
P202049,rodilla offset attune
P202104,columna conexion macho-macho
P202289,lente intraocular monofocal carlevale
P202392,generador marcapasos bicameral assurity
P202395,cadera segmento cuello ccd 126o titaneo
P202396,cadera componente conexion
P202397,cadera anillo de union sistema mega c
P202398,cadera tornillo de fijacion long 41mm
P202405,osteo tornillo canulado autoperforante
P202440,"osteo maxilo transepitelial 4,8"
P202441,osteo maxilo implante titanio muy pequen
P202445,cadera cemento simplex tobramicin
P202446,columna caja intersomatica acis/titanio
P202481,craneoplastia hidroxiapatita 3d
P202483,stent coronario con liberacion everolimu
P202484,cadera verasense journey ii bcs
P202507,endoprotesis aorto uni iliaca
P202527,osteo maxilo pilar transepitelial ic
P202528,osteo maxilo tapon confort transepitetel
P202529,stent esofagico tts totalmente cubierto
P202642,marcapasos tricameral reply crt-p
P202736,malla farmacoactiva p/neuroestimulador
P202738,osseoti cuna porosa de titanio
P202801,cadera inserto metalico
P202802,cadera inserto doble movilidad pe
P202803,rodilla malla refuerzo tendinoso 50x50mm
P202828,sistema de anclaje de raiz meniscal
P202833,matriz colageno acelular deshidratada
P202836,matriz colageno acelular deshidratada
P202861,pie placa shape grande
P202863,pie tornillo non lock
P202864,pie tornillo lock
P202865,osteo aguja kirschner roscada
P202873,valvula cardiaca aortica dokimos plus
P203048,"pie tornillo de bloqueo evo 2,7 mm"
P203147,"membrana amniotica liofilitzada 2,5cm"
P203148,"membrana amniotica liofilitzada 4,5cm"
P203185,hombro cabeza humeral metalica
P203186,hombro metaglena revision
P203190,implante de pene hidraulico
P203211,implante de pene hidraulico largo
P203218,osteo placa adicion tibial interna titan
P203219,osteo tornillo autorrajante dts esteril
P203220,sustituto oseo para jaula de fusion otv
P203254,osteo tornillo autorrajante dts esteril
P203264,hombro vastago primario a presion no cem
P203266,hombro bandeja humeral
P203267,hombro inserto humeral
P203268,hombro glenosfera expandida 4 mm
P203269,hombro tornillo de glenosfera
P203350,cas estimulacio cerebral profunda
P203351,pack primo implant dbs
P203354,hombro vastago corto / largo
P203358,hombro metaglena metalica
P203359,hombro glenosfera
P203360,hombro inserto humeral
P203384,hombro anclaje humeral
P203387,hombro cabeza humeral
P203388,hombro vastago humeral
P203398,columna kit vertebroplastia baja viscosi
P203399,columna kit vertebroplastia alta viscosi
P203402,hombro tornillo bandeja humeral
P203403,hombro metaglena (placa glenoidea)
P203404,hombro tornillo metaglena
P203509,malla vaginal p/prolapso anterior/apical
P203510,sistema estimulacion cardiaca transcatet
P203561,sist.reparacion transcat. valvula mitral
P203576,"columna barra titanio recta romeo  5,4"
P203577,columna barra titanio recta romeo  2 lc
P203578,columna conector transversal multiaxial
P203579,columna mango cementacion  punta aflauta
P203580,columna cemento para canula 3.0mm /l 200
P203661,osteo suture fix curvo
P203675,lente intraocular pregargaca cataratas
P203678,clip costal titanio 3d 9 segmentos
P203685,"malla no absorbible monofilar pp 7,5x15c"
P203686,malla no absorbible monofilar pp 15x15cm
P203687,malla no absorbible pp 30x30cm
P203688,malla hernia intraperitoneal 10x15
P203689,cadera vastago acero
P203690,cadera vastago femoral coron
P203692,acceso venoso central con camara
P203701,cadera cabeza unipolar acero
P203772,endoprotesis aortouniliaca aaa estandar
P203774,matriz dermica acelular 10 x 5
P203775,tendon tibial anterior 20cm
P203779,tendon aquili sin hueso 15cm
P203791,tendon gracilis 20cm
P203821,lente intraocular con inyector
P203823,columna sistema conector barra titanio
P203824,columna sist.conector barra ti bloqueado
P203825,stent platino-iridio coartacion aortica
P203826,"columna grafton putty 2,5 cc"
P203827,columna tornillo variable autorroscante
P203828,columna placa cervical 3 niveles
P203862,stent periferico cr-co expandible balon
P203884,hombro cuerpo proximal
P203886,hombro vastago modular
P203887,hombro bandeja humeral para invertida
P203888,hombro inserto para invertida
P203889,tornillo para hueso esponjoso
P203890,hombro hueso cortical
P203891,hombro tornillo hueso cortical-estabilid
P203892,hombro metaglena para invertida
P203893,hombro glenosfera neutra
P203945,malla no absorbible monofilar pp 5x30cm
P203956,osteo pie implante metal trabecular
P203957,osteo pie implante metal trabecular
P203990,anclaje sutura suturetak de peeek
P204011,osteo placa femur de titanio esteril
P204014,osteo placa personalitzada l20-40
P204084,valvula aortica transcateter  mitmeva
P204085,valvula de pericardio bovino mitmeva
P204086,valvula transcat pericardio bov mitmeva
P204087,valvula aortica pericard bovino mitmeva
P204090,valvula transc.pericardio bovino mitmeva
P204096,guia corte osteotomia femur poliamida
P204097,columna ortho blast-ii 1.0cc pasta jerin
P204098,columna caja anterior cervical
P204099,columna tornillo cervical
P204104,rodilla vastago cementado modular por-ex
P204119,osteo placa adicional tibial t2
P204120,osteo arandela angulable truelock
P204122,tibial nail standard t2 tibia o9x330 mm
P204125,cadera acetabulo bimolbile
P204127,cadera cotilo cementado revision doble
P204171,rodilla menisco individualizado
P204199,vastago metacarpiano maia hap c. t. 7
P204200,cupula trapecio maia doble movilidad hap
P204221,osteo placa posterolateral distal
P204222,osteo placa posterior distal
P204223,osteo placa partial medial distal
P204225,osteo placa tubular
P204226,pie tornillo cortical t8 s-t
P204227,pie tornillo cortical autorroscante
P204261,nucleo cupula 8mm cuello decalado maia
P204273,filtro vena cava inferior bioconvertible
P204274,stent para estenosis  intracraneal credo
P204313,lente torica ankoris
P204386,"espalda pin o2,5x150mm punta roscada"
P204415,osteo tornillo hexalobe traccion
P204416,osteo placa p/ correccion rotacional
P204495,"osteo tornillo canulado acero 3,5 mm"
P204496,mano implante escafoideo pyrocarbon
P204518,implante orbitario de bioceramica
P204522,placa high quality airlock
P204523,tornillo high quality monoaxial
P204524,agujas kirschner redondo/trocar
P204528,orthoss en bloques 1x1x2 cm
P204529,"orthoss en bloques 2x2x1,3 cm"
P204530,orthoss en bloques colageno 10x10x8 mm
P204541,oido cemento otologico otomimix
P204542,oido protesis total timpanoplastia
P204553,vastago metacarpiano maia hap
P204554,cupula trapecio maia doble movilidad hap
P204555,nucleo cupula cuello decalado maia
P204556,tendon tibial posterior 20 cm
P204557,valvula glaoucoma paul
P204558,protesis semi rigida pene
P204559,osteo placa tibial distal medial simetri
P204589,columna cilindro corpectomia extensible
P204590,columna cilindro corpectomia extensible
P204622,cemento refobacin r 2x40
P204649,placa tibial  articular medial proximal
P204668,"artro implante cadera peek 2,6 c/sutura"
P204669,anillo entero
P204670,bisagra macho
P204671,manga para cubo
P204672,anillo de pie largo
P204673,cubo 1 agujero
P204674,cubo 2 agujeros
P204675,cubo 5 agujeros
P204676,barra roscada
P204677,cubo macho 2 agujeros
P204678,arandela 2mm
P204679,tuerca m6
P204680,bulon 14mm
P204689,osteo tornillo bloqueado c/cabeza conica
P204690,osteo tornillo cortical
P204691,bulon universal ti para kirschner
P204692,pin con recubrimiento de hidroxiapatita
P204693,"aguja kirschner 1,8x400 mm sin oliva"
P204694,cap protector o6 mm
P204695,grapa varizacion 26o/90o l.80/100mm este
P204699,implante orbitario de polietileno
P204700,rodilla reemplazo ensamblaje tibial
P204778,tornillo high quality poliaxial
P204836,cadera cabeza ceramica delta
P204889,columna aguja kirschner
P204891,columna conector paralelo moss ti
P204893,columna tapon moss
P204894,columna canula cementacion moss
P204895,columna sistema vertebroplastia
P204936,cadera cabeza ceramica - error
P204957,"artro drill guia 1,5 (pin de tendon)"
P204958,artro anclaje minitac 2.0 mm con 2 sutur
P205016,cadera vastago femoral
P205017,sutura force fiber
P205018,aguja flexible pasadora de sutura
P205019,canula desechable con y sin espirales
P205026,cadera cadera inserto metalico
P205028,hombro tornillo multidireccional
P205029,hombro tornillo compresion
P205041,"procinch adjustable loop implant, revers"
P205042,tornillo interferencial biosteon
P205068,osteo aguja kirschner
P205116,lente torica vivity
P205117,protesis de iris sin lente
P205193,malla reabsorbible 15x20cm
P205194,malla reabsorbible 20x25cm
P205195,malla reabsorbible 25x30cm
P205246,planificacion virtual cir.panfacial plac
P205248,diseno guia corte radi placa
P205249,kit aspirado-concentrado medula osea
P205250,kit descompresion percut. cabeza femoral
P205251,kit de electrodo direccional para ecp
P205252,kit extension direccional para ecp
P205256,columna placa lumbar sup/inf via anter.
P205258,columna nucleo fijo
P205263,"osteo placa personalizada ded 0,80mm sd"
P205266,electrodo cuadripolar de seno coronario
P205280,columna tuerca de bloqueo perla
P205282,columna barra pre-curvada perla
P205284,columna tornillo reduccion perla
P205285,columna tornillo pedicular poliaxial
P205286,"osteo placa personalizada 2,50mm titanio"
P205343,cadera inserto 32mm marathon +4mm
P205403,cadera inserto polietileno
P205406,columna barra mediana  reconstructiva
P205520,"clip costal titanio 45o22,5o22o girable"
P205549,stent cromo-cobalto balon expandible ptf
P205618,columna ortho blast-ii 10.0 cc putty tub
P205619,columna ortho blast-ii 5.0 cc  tubo + es
P205629,hombro vastago humeral estandar hibrido
P205641,stent esofagico tts parcialment cubierto
P205876,lente trifocal torica finevision
P205877,artro sistema de fijacion twinbridge
P205912,osteo placa tibia 2.4 mm 20 agujeros
P205913,osteo tornillo 2.4mm x 50 mm
P205915,hilos faciales tensores silhouette soft
P205916,kit de sutura sindesmosis
P205968,aguja trocar punta diamante 11gx150mm
P205969,"""""""aguja de kirschner roma, 21"""""""""""""""
P205982,osteo placa tibia pl 24h 3.5mm l-p
P205986,osteo placa medial de sustraccion hto
P205987,osteo tornillo cortical 4.5mm esteril
P206036,"implante palpebral oro de 0,6gr a 1,8gr"
P206041,pie placa calcaneo
P206054,osteo sistema psi compleja mano
P206055,osteo placa poliaxial radio distal
P206056,osteo tornillo bloqueo cabeza conica
P206057,osteo tornillo cortical estandar
P206058,osteo aguja kirschner
P206071,osteo aguja pk1002 pak trocar
P206073,columna tornillo de cierre esteril
P206075,columna barra de conexion crv
P206076,columna tornillo poliaxial solid
P206077,columna con. transv. artic esteril
P206142,cadera ceramica cuello
P206143,cadera vastago offset
P206144,cadera inserto
P206145,cadera cotilo
P206222,osteo placa pers ortognatica titanio
P206233,osteo placa tibia medial proximal 3.5mm
P206277,osteo cabeza modular radial
P206278,cadera obturador agujero
P206331,osteo placa tibial posteromedial proxima
P206332,columna kit cifoplastia doble balon
P206333,rodilla inserto polietileno vanguard
P206334,osteo tornillo osteopenia 3.0mm
P206335,osteo tornillo cortical 2.4mm
P206377,valvula aortica transcateter expandible
P206378,columna mezclador cemento
P206379,columna jeringuilla 2.5 ml conexion luer
P206380,columna tornillo janusfenestrado canula
P206385,rodilla componente rotatorio offset
P206387,lente precizon toric monofocal
P206388,"osteo tornillo de bajo perfil 2,4mm"
P206389,"osteo tornill bloqueo angul variable 2,4"
P206390,osteo placa  gancho universal quinto met
P206391,"osteo tornillo canulado titanio 4,0"
P206392,osteo arandela titanio
P206393,osteo aguja guia
P206394,"osteo tornillo canulado titanio 5,0"
P206395,osteo aguja guia
P206396,osteo placa perone distal lateral
P206414,osteo aguja kirshner trocar 100mm
P206439,placa fijacion p/craneo rejilla 6 agujer
P206457,sistema reemplazo muneca
P206481,columna tubo inyeccion cemento desechab
P206482,columna cemento 1 x 24 g
P206634,rodilla c/femoral primario metalico
P206636,artro sistema reparacion meniscal 360o
P206637,artro anclaje para suturas sin nudo
P206701,osteo tornillo cortical autorroscant
P206702,osteo aguja kirschner 0.6mm l70 tav
P206776,artro implante latarjet
P206784,osteo cinta ultratape
P206786,osteo tornillo interferencial regenesorb
P206789,osteo recuperador de suturas esteril
P206791,osteo broca retrogada desechable 9mm
P206792,osteo tornillo bloqueo 2.0mm
P206793,mamaria  gel b-lite micropoliuretano
P206797,osteo placa flexible 2.4mm
P206849,"osteo tornillo bloqueo 3,5 esteril"
P206850,osteo tornillo de cierre ti 5mm esteril
P206857,osteo placa ips maxilar-mandibul. a medida
P206861,coil de platino tungsteno prestige  plus
P206862,rodilla rotula pernos
P206865,columna tuerca para tornillo perla
P206866,columna barra pre-curvada de titanio 3.5
P206867,columna tornillo poliaxial 3.5
P206868,osteo placa con guia personalizada mandibula
P206903,placa basica bloqueo 1.3 p/falange ca 3aguj.
P206905,placa basica bloqueo 1.5 p/falange ca 3aguj.
P206906,osteo aguja-k o1 l150 tav
P206909,columna caja lumbar titanio poroso 3d
P206910,columna tornillo poliaxial canulado
P206921,columna mis barra curvada
P206922,osteo cuna hidroxiapatita
P207048,osteo placa lateral distal fibula
P207137,columna caja intersomatica 10x11
P207166,lente ct lucia 202
P207167,columna tornillo fibra carbono
P207168,columna barra curvada fibra carbono
P207169,columna tapon cierre fibra carbono
P207170,columna trocar de vertebroplastia
P207195,malla hernia intraperitoneal 5x15x2cm
P207269,matriz dermica 15 x 5 cm 3mm
P207306,aerstent tby carina recubrimiento parcia
P207307,aesrtent guia nitinol
P207308,columna p/total disco intervert cervical
P207327,"protesis provox xtraseal 6 - 12,5mm"
P207359,rodilla vastago intramedular femoral
P207401,cadera cotilo cementado freedom
P207402,rodilla componente femoral cr-co cementa
P207409,placa fijacion p/craneo en y perfil 0
P207410,"firehawk/stent coron.farmacoactivo-2,25mm-13 mm"
P207417,osteo tornillo cefalico titanio
P207422,"columna pasta hidroxiapatita cristal 2,5cc"
P207423,preserflo microshunt
P207424,rodilla sist fij.vastago modul.no cementado
P207425,rodilla adapt sistem de fijacion modular
P207426,rodilla tornillo de fijacion  sistema
P207445,oclusor orejuela auricular izda
P207513,placa fijacion p/craneo poligonal
P207514,placa de trepano p/fijacion craneal o20m
P207531,endoprotesis abdominal feta a mida
P207555,lente acrysof natural tres piezas
P207556,osteo placa ips maxilar mandibula menton
P207585,lente trifocal pod finevision
P207586,grapa esternal izquierda precurvada l85
P207587,grapa de refuerzo esternal
P207588,barra l 120 mm
P207589,tornillo titanio inserto en peek optima
P207703,lente isopure 123
P207719,osteo placa sutura patelar
P207720,osteo tornillo de bloqueo de bajo perfil
P207736,cemento c/gentamicina 2x20gr alta viscos
P207737,osteo espaciador lcp 5.0 mm titanio
P207745,columna barra cromo cobalto recta romeo
P207751,osteo tallo humeral pequeno recubierto
P207752,osteo tapon para cementacion restrictor
P207754,codo derecho pequeno anatomico
P207758,lente trifocal finevision hp
P207760,lente tecnis eyhance toric ii simplicity
P207834,osteo placa calcaneo
P207849,lente tecnis eyhance simplicity
P207886,malla poliester monofilar rectangular
P207904,rodilla componente femoral
P207923,electrodo percutaneo de prueba 60 cm
P207973,dispositivo transcateter prot valvulada
P208053,vascutek - aorta toracico abdominal
P208129,sistema reconstruccion valvul.tricuspide
P208157,osteo tornillo cortical autoroscan acero
P208158,osteo aguja guia 3.2mm
P208195,electrodo fijacion activa/pasiva
P208237,osteo placa  ips deformidad facial a med
P208239,hombro vastago humeral corto ti cap
P208240,bandeja humeral para invertida neutra tinbn por-ex
P208245,"osteo placa condilea 1,6mm titanio"
P208247,"osteo placa adaptacion 2,4mm titanio"
P208249,"osteo placa condilea 2/2,4mm titanio"
P208250,"osteo placa adaptacion 2,00mm titanio"
P208256,artro implante para tendon
P208257,artro implante para hueso 3
P208258,artro implante bioinducitvo pistola l
P208286,osteo tornillo cerrado p/clave endomedul
P208291,glenosfera excentrica tinbn 36 mm por-ex
P208292,columna conector barra paralelo
P208293,columna acceso long 125 punta aflautada
P208294,implante coclear nucleus profile
P208347,osteo tornillo esponjoso acero
P208348,osteo arandela
P208350,"osteo tornillo cortical 2,7mm acero"
P208351,"osteo placa recta bloqueo 3,5mm acero"
P208352,osteo tornillo esponjoso 4mm acero
P208353,osteo placa tercio tubo
P208356,"osteo placa 4,5/5mm ancha acero"
P208357,"osteo placa 4,5/5mm estrecha acero"
P208359,osteo tornillo bloqueo 5mm autoroscante
P208382,osteo tornillo cortical autoroscante
P208384,osteo placa humeral/cubital medial/later
P208385,"osteo placa c/gancho 3,5mm titanio"
P208386,osteo tornillo bloqueo titanio
P208387,osteo placa clavicula titanio
P208396,osteo tornillo cortical estandart
P208397,osteo tornillo cortical cabeza cuadrada
P208401,osteo tornillo bloqueo autoperf-autorosc
P208414,osteo placa anatomica angular perone
P208415,osteo tornillo con/sin bloqueo autorosca
P208431,osteo clavija posicionamiento c/rosca
P208433,osteo placa bloqueo olecranon titanio
P208443,hombro epifisis humeral invertida cement
P208452,membrana endotelial dmek fresca
P208453,osteo placa calcani titani
P208454,osteo tornillo cortical bloqueo titani
P208455,osteo tornillo canulado cabeza ti rosca
P208456,osteo tornillo cortical no bloqueo titan
P208564,osteo placa pelvica curva acero
P208605,osteo tornillo cierre p/clavo tibia ti
P208606,osteo tornillo bloqueo autoroscante ti
P208607,osteo clavo endomedular tibia titanio
P208611,osteo tornillo roscado
P208612,osteo placa curvada diafisaria femur ti
P208622,"aguja kirschner 2,8mmx450mm taladro"
P208634,"aguja kirschner 3,0mmx280mm"
P208635,"aguja kirschner 1,6mmx150mm"
P208636,"aguja kirschner 2,0mmx150mm"
P208637,"aguja kirschner 1,25mmx150mm"
P208658,generador de impulsos no recargable
P208659,programador/mando de paciente
P208692,artro pin reabsorbible
P208694,artro pin con cabeza reabsorbible
P208698,valvula biologica aortica pericardio bov
P208736,anillo corneal intraestomal keraring sim
P208795,grapa esternal derecha precurvada l75 mm
P208796,grapa esternal izquierda precurvada l75mm
P208798,grapa esternal derecha precurvada l85 mm
P208799,placa esternal trionix l 120 mm
P208917,"p. vasc tor-abdom 26mm x 47cm, 4 ramas"
P208933,endoprotesis aortica c/ramas
P208935,lentre intraocular monobloque acrilica
P208951,envista toric
