lab_sap_ref,lab_descr,units,lab_ref
LABRIFAM,"Rifampicina, plasma",N.D.,3235
LABRIFXA,Anticuerpos Anti-Infliximab,AU/mL,3236
LABRIFXN,Niveles de Infliximab,N.D.,3237
LABRIGAD,Anticuerpos IgA antireticulina (,N.D.,3238
LABRIGGD,Anticossos IgG antireticulina,N.D.,3239
LABRIL,Anticossos anti-Ri,N.D.,4764
LABRIPA,Ristocetina 1mg/ml,%,3240
LABRIPA08,"Ristocetina 0,8mg/ml",%,3241
LABRIS,Anticossos anti-Ri (Blot),N.D.,4765
LABRISED,Risedronat orina,µg/24h,4766
LABRISPS,"Risperidona,sèrum",N.D.,3242
LABRITO,"Ritonavir, sang total",N.D.,3243
LABRITOLC,"Ritonavir, sang total LC/MS",µg/mL,3244
LABRIVA,Quantificació de Rivaroxaban e,ug/mL,4767
LABRLCD1,Limfòcits CD1a+ total sang to,Cél/µL,5105
LABRNP,"Anticuerpos anti-U1-RNP, sérum",N.D.,3245
LABRNPA,"Anticuerpos anti-U1-RNP, sérum",N.D.,3246
LABRNPAN,Anticossos anti-U1-RNP sèrum,FLU,5031
LABRO,"Anticuerpos anti-Ro o anti-SSA,",N.D.,3247
LABRO52,"Anticuerpos anti-Ro52, sérum",U/mL,3248
LABRO52A,"Anticuerpos anti-Ro52, sérum",FLU,3249
LABRO52D,Ac IgG anti-Ro52 (DotBlot),N.D.,3250
LABRO52DB,Ac miositis anti-Ro-52 (Dot-Blot,N.D.,3251
LABRO52I,Ac IgG anti-Ro52 (DotBlot),N.D.,3252
LABRO60,"Anticossos anti-Ro60, sèrum",U/mL,4768
LABRO60A,"Anticuerpos anti-Ro o anti-SSA,",N.D.,3253
LABRO60AN,Anticossos anti-Ro o anti-SSA,,5027
LABROCD4,CD45ROCD4,N.D.,4769
LABROCD8,CD45ROCD8,N.D.,4770
LABROEIM,Fragilitat osmòtica eritrocità,N.D.,3254
LABROEIN,Fragilitat osmòtica eritrocità,N.D.,3255
LABROMAC,Cálculo R.O.M.A.,%,3256
LABRP11,Ac IgG anti-RP11 (Dot-Blot),N.D.,3257
LABRP155,Ac IgG anti-RP155 (Dot-Blot),N.D.,3258
LABRP3,Anticuerpos RNA Polimerasa III,U/mL,3259
LABRPACAI,Calcio ionizado sangre arterial,mmol/L,3260
LABRPACBX,Carboxihemoglobina,%,3261
LABRPACL,"Cloruro, sangre",mmol/L,3262
LABRPACO2T,CO2 total sangre arterial,mmol/L,3263
LABRPAEXB,Exceso de base sangre arterial,mmol/L,3264
LABRPAGLU,Glucosa sangre arterial,mg/dL,3265
LABRPAHCO3,"Bicarbonato actual, sangre arter",mmol/L,3266
LABRPAHCT,Hematocrito sangre,%,3267
LABRPAHGB,Hemoglobina sangre,g/dl,3268
LABRPAK,"Potasio, sangre",mmol/L,3269
LABRPALAC,"Lactato, sangre",mg/dL,3270
LABRPAMGB,"Metahemoglobina, sangre",%,3271
LABRPANA,"Sodio, sangre",mmol/L,3272
LABRPAPCO2,pCO2 sangre arterial,mmHg,3273
LABRPAPH,"pH, sang arterial",N.D.,3274
LABRPAPO2,pO2 sangre arterial,mmHg,3275
LABRPASO2,Saturacion de oxigeno %  sangre,%,3276
LABRPCDF,Nº Plaquetes per citometria,N.D.,3277
LABRPQOC1,Recompte CART-CD1a total sang,N.D.,5106
LABRPT,Rati Proteïnes líquid/sèrum,N.D.,3278
LABRPVCAI,Calcio ionizado sangre venosa,mmol/L,3279
LABRPVCBX,Carboxihemoglobina,%,3280
LABRPVCL,"Cloruro, sangre",mmol/L,3281
LABRPVCO2T,"CO2 total, sangre venosa",mmol/L,3282
LABRPVEXB,Exceso de base sangre venosa,mmol/L,3283
LABRPVGLU,Glucosa sangre venosa,mg/dL,3284
LABRPVHCO3,"Bicarbonato actual, sangre venos",mmol/L,3285
LABRPVHCT,Hematocrito sangre,%,3286
LABRPVHGB,Hemoglobina sangre,g/dl,3287
LABRPVK,"Potasio, sangre",mmol/L,3288
LABRPVLAC,"Lactato, sangre",mg/dL,3289
LABRPVMGB,"Metahemoglobina, sangre",%,3290
LABRPVNA,"Sodio, sangre",mmol/L,3291
LABRPVPCO2,pCO2 sangre venosa,mmHg,3292
LABRPVPH,"pH, sang venosa",N.D.,3293
LABRPVPO2,pO2 sangre venosa,mmHg,3294
LABRPVSO2,Saturacion de oxigeno %  sangre,%,3295
LABRRAB,"Repertori BCR per NGS, sang to",N.D.,3296
LABRRABMD,"Repertori BCR per NGS, medul.l",N.D.,3297
LABRRADAA,Anticuerpos Anti-Adalimumab,AU/mL,3298
LABRRAT,Estudi del repertori del recep,N.D.,3299
LABRRATMD,Estudi del Repertori del recep,N.D.,3300
LABRRTXA,Anticuerpos Anti-Rituximab,N.D.,4771
LABRRTXN,Niveles de Rituximab,N.D.,4772
LABRSTRF,Receptor soluble transfe,mg/L,3301
LABRTBAC,Tacròlimus (FK506),N.D.,3302
LABRTOC,Resposta a Tocilizumab,N.D.,3303
LABRTQIL,Agregación de alfa-Sinucleina,N.D.,3304
LABRTRI,Rati Triglicèrids líquid/sèrum,N.D.,3305
LABRVSTS,Resposta Vacunal a Salmonella,N.D.,3306
LABS100L,"S-100, líquid cefaloraquidi",N.D.,3307
LABS7DHC,7-Dehidrocolesterol,µmol/L,3308
LABS89COLE,8(9)-Colestenol,µmol/L,3309
LABS8DHC,8-Dehidrocolesterol,N.D.,3310
LABSACA,Sacaropina sèrum,N.D.,3311
LABSACAO,Sacaropina orina,N.D.,3312
LABSACTNTC,Comentario,N.D.,3313
LABSAE1,"Ac miositis, anti-SAE1 (Dot-Blot",N.D.,3314
LABSAGAL,"Alfa-Galactosidasa A, sérum",nmol/h/mL,3315
LABSAPWA,Estudio Prader Willi/Angelman ML,N.D.,3316
LABSAQUI,"Saquinavir, sang total",µg/mL,4773
LABSAR,Sarcosina sèrum,N.D.,3317
LABSARO,Sarcosina orina,N.D.,3318
LABSBCMA,"Detección BCMA soluble (sBCMA),",pg/mL,3319
LABSBETACO,Beta-Colestanol,µmol/L,3320
LABSC,Cariotipo en sangre,N.D.,3321
LABSC0,Carnitina libre,µmol/L,3322
LABSC0C16C,C0/ (C16 +C18),N.D.,3323
LABSC10,Decanoilcarnitina,µmol/L,3324
LABSC101,Decenoilcarnitina,µmol/L,3325
LABSC102,Decadienoilcarnitina,µmol/L,3326
LABSC12,Dodecanoilcarnitina,µmol/L,3327
LABSC121,Dodecenoilcarnitina,µmol/L,3328
LABSC14,Tetradecanoilcarnitina,µmol/L,3329
LABSC141,Tetradecenoilcarnitina,µmol/L,3330
LABSC141C1,C14:1/C16,N.D.,3331
LABSC141C2,C14:1/C2,N.D.,3332
LABSC142,Tetradecadienoilcarnitina,µmol/L,3333
LABSC14OH,3-OH-tetradecanoilcarnitina,µmol/L,3334
LABSC16,Hexadecanoilcarnitina,µmol/L,3335
LABSC161,Hexadecenoilcarnitina,µmol/L,3336
LABSC161C2,C16OH/C2,N.D.,3337
LABSC161OH,3OHhexadecheptadecanoilcar,µmol/L,3338
LABSC16C14,C16OH/C14,N.D.,3339
LABSC16C18,C16 + C18:1/C2,N.D.,3340
LABSC16OH,3-OH-hexadecanoilcarnitina,µmol/L,3341
LABSC18,Octadecanoilcarnitina,µmol/L,3342
LABSC181,Octadecenoilcarnitina,µmol/L,3343
LABSC181OH,3-OH-octadecenoilcarnitina,µmol/L,3344
LABSC182C,Octadecadienoilcarnitina,µmol/L,3345
LABSC182W6,Ácido linoleico (LA) (C18:2w6),µmol/L,3346
LABSC183W3,Ácid alfa-linolénico (ALA) (C18:,µmol/L,3347
LABSC183W6,Ácido gamma-linolénico (GLA) (C1,µmol/L,3348
LABSC18OH,3-Hidroxiestearoilcarnitna,µmol/L,3349
LABSC2,Acetilcarnitina,µmol/L,3350
LABSC202W6,Ácido eicosadienoico (C20:2w6),µmol/L,3351
LABSC203W6,Ácido homo-gamma-linolénico (C20,µmol/L,3352
LABSC203W9,Ácido eicosatrienoico (C20:3w9),µmol/L,3353
LABSC204R,Ràtio sC20:4w6/C18:2w6,N.D.,3354
LABSC204W6,Ácido araquidónico (ARA) (C20:4w,µmol/L,3355
LABSC205W3,Ácido eicosapentaenoico (EPA) (C,µmol/L,3356
LABSC20E,Eicosanoilcarnitina,µmol/L,3357
LABSC220,Ácido behénic (C22:0),µmol/L,3358
LABSC221,Ácido erúcico (C22:1),µmol/L,4774
LABSC224W6,Ácido docosatetraenoico (DTA) (C,µmol/L,3359
LABSC225W3,Ácido docosapentaenoico (DPA) (C,µmol/L,3360
LABSC225W6,Ácido docosapentaenoico (DPA) (C,µmol/L,3361
LABSC226R,Ràtio sC22:6w3/C22:5w3,N.D.,3362
LABSC226W3,Ácido docosahexaenoico (DHA) (C2,µmol/L,3363
LABSC22D,Docosanoilcarnitina,µmol/L,3364
LABSC240,Ácido lignocérico (C24:0),µmol/L,3365
LABSC241,Ácido nervónico (C24:1),µmol/L,4775
LABSC24C22,Ràtio sC24/C22,N.D.,3366
LABSC24C26,C24 + C26/C22,N.D.,3367
LABSC24T,Tetracosanoilcarnitina,µmol/L,3368
LABSC260,Ácido hexacosanoico (C26:0),µmol/L,3369
LABSC26C22,Ràtio sC26/C22,N.D.,3370
LABSC26H,Hexacosanoilcarnitina,µmol/L,3371
LABSC3,Propionilcarnitina,µmol/L,3372
LABSC3C2,C3/C2,N.D.,3373
LABSC3C4C2,C3DCC4OH/C2,N.D.,3374
LABSC4,"Butiril,isobutirilcarnitina",µmol/L,3375
LABSC4C2,C4/C2,N.D.,3376
LABSC4C5C2,C4DCC5OH/C2,N.D.,3377
LABSC4OHC3,"Malonil3OHiso,butirilcarnit",µmol/L,3378
LABSC5,"Isovaleril,2-metil-butirilcarnit",µmol/L,3379
LABSC51,"Tiglil,3-metilcrotonilcarnitina",µmol/L,3380
LABSC5B9,Quantificació sC5b-9 plasma,N.D.,3381
LABSC5C2,C5/C2,N.D.,3382
LABSC5C6C3,C5DCC6OH/C3DCC4OH,N.D.,3383
LABSC5DC,Glutaril3OHhexanoilcarnitin,µmol/L,3384
LABSC5OH,"Metilm,succi3OHisov,2M3OHbut",µmol/L,3385
LABSC5X6C1,C5DCC6OH/C16,N.D.,3386
LABSC6,Hexanoilcarnitina,µmol/L,3387
LABSC6DC,"Adipil,3-metilglutarilcarnitina",µmol/L,3388
LABSC8,Octanoilcarnitina,µmol/L,3389
LABSC81,Octenoilcarnitina,µmol/L,3390
LABSC8C10,C8/C10,N.D.,3391
LABSC8C2,C8/C2,N.D.,3392
LABSCAMP,Campesterol,µmol/L,3393
LABSCD163,"Determinación de CD163 soluble,",N.D.,3394
LABSCD40L,Dosificación de CD40L soluble,ng/mL,3395
LABSCL,"Anticuerpos anti-Scl 70, sérum",N.D.,3396
LABSCL70A,"Anticuerpos anti-Scl 70, sérum",N.D.,3397
LABSCL70AN,Anticossos anti-Scl 70 sèrum,,5028
LABSCL70D,"Ac IgG anti-Scl-70, suero (Dot-B",N.D.,3398
LABSCNF,Estudio genético de neutropenias,N.D.,3399
LABSCNI,Estudio genético de neutropenias,N.D.,3400
LABSCOL,Colesterol,mmol/L,3401
LABSCRCDC,Aloanticuerpos por CDC (especifi,N.D.,3402
LABSDES,Desmosterol,N.D.,3403
LABSDHAF,Gen SDHA- mutació concreta (ca,N.D.,4776
LABSDHAI,Gen SDHA- recerca de mutacions,N.D.,4777
LABSDHCF,Gen SDHC-mutació concreta (cas,N.D.,4778
LABSDHCI,Gen SDHC recerca de mutaciones,N.D.,4779
LABSDHFF,Gen SDHAF2- mutació concreta (,N.D.,4780
LABSDHFI,Gen SDHAF2- recerca de mutacio,N.D.,4781
LABSDOWN,Síndrome de Down,N.D.,3404
LABSEDI,Sediment:,N.D.,3405
LABSEDWA,Síndrome dEdwards,N.D.,3406
LABSELOR,"Seleni,orina",N.D.,3407
LABSER4199,INTERPRETACIÓ:,N.D.,4782
LABSEROO,1 metil histidina orina,N.D.,3408
LABSERP,"Serina (SER), plasma",N.D.,3409
LABSERPIIN,Déficit alfa1 antitripsina(alelo,N.D.,3410
LABSF15,FISH Prader Willi/Angelman en,N.D.,3411
LABSF22,FISH CATCH 22 en sangre,N.D.,3412
LABSFC,Cariotipo en sangre fetal,N.D.,3413
LABSFIBG,"IgG virus Febre Groga, sèrum",N.D.,3414
LABSFIBM,"IgM virus Febre Groga, sèrum",N.D.,3415
LABSFIT,Ácido fitànico,µg/mL,3416
LABSFLAG,"IgG virus Mosaic Flavivirus, s",N.D.,3417
LABSFLAM,"IgM virus Mosaic Flavivirus, s",N.D.,3418
LABSFLT,sFlt,N.D.,3419
LABSFMS,FISH multisonda en sangre,N.D.,3420
LABSFSU,FISH sonda única en sangre,N.D.,3421
LABSFTPD,Genotipifiación del exón 1 del,N.D.,4783
LABSFY,FISH gen SRY en sang,N.D.,3422
LABSGLUCUR,Beta-Glucuronidasa,nmol/h/mL,3423
LABSHBG,Globulina ligado hormonas,nmol/L,3424
LABSHEX,Beta-Hexosaminidasa total,nmol/h/mL,3425
LABSHEXA,Beta-Hexosaminidasa A,nmol/h/mL,3426
LABSIC1H,"ICAM-1,sèrum",N.D.,3427
LABSILICAC,Silica Cloting time,N.D.,3428
LABSLA,Ac IgG anti-SLA (DotBlot),N.D.,3429
LABSM,"Anticuerpos anti-Sm, sérum",N.D.,3430
LABSMA,"Anticuerpos anti-Sm, sérum",N.D.,3431
LABSMAN,Anticossos anti-Sm sèrum,FLU,5034
LABSNCFS,Estudi de poblacions de neutrò,N.D.,3432
LABSNP12,SNP12,N.D.,4784
LABSNP13,SNP13,N.D.,4785
LABSNP8,SNP8,N.D.,4786
LABSO2SCA,"Saturació doxigen, sang capil",N.D.,3433
LABSO2ST,% saturación por Oxígeno Hb calo,%,3434
LABSO2SVCR,% sat. per Oxígen Hb venosa co,%,4787
LABSOX1L,Anticossos anti-SOX1(AGNA),N.D.,4788
LABSOX1S,Anticuerpos anti-SOX1(AGNA) (Blo,N.D.,3435
LABSP100,Ac IgG anti-SP100 (DotBlot),N.D.,3436
LABSPASTF,Paraplègia espàstica tipus 4 -,N.D.,3437
LABSPASTI,Paraplègia espàstica tipus 4 -,N.D.,3438
LABSPATAU,Síndrome de Patau,N.D.,3439
LABSPCFA,RT-PCR virus de la febre groga,N.D.,3440
LABSPCRD,"RT-PCR virus Dengue, sèrum",N.D.,3441
LABSPCRF,"RT-PCR genèrica Flavivirus, sè",N.D.,3442
LABSPCRT,"RT-PCR virus Toscana, sèrum",N.D.,3443
LABSPD,"SP-D, plasma",ng/mL,4789
LABSPD00,"ACTH [sinus petrós D, 0min], sér",pg/mL,3444
LABSPD03,"ACTH [sinus petroso D, 3min], sé",pg/mL,3445
LABSPD05,"ACTH [sinus petroso D, 5min], sé",pg/mL,3446
LABSPD10,"ACTH [sinus petroso D, 10min], s",pg/mL,3447
LABSPI00,"ACTH [sinus petroso E, 0min], sé",pg/mL,3448
LABSPI03,"ACTH [sinus petroso E, 3min], sé",pg/mL,3449
LABSPI05,"ACTH [sinus petroso E, 5min], sé",pg/mL,3450
LABSPI10,"ACTH [sinus petroso E, 10min], s",pg/mL,3451
LABSPINK,Mutación N34S en SPINK1 en pan,N.D.,3452
LABSPRIS,Ácido pristánico,µg/mL,3453
LABSPUFSST,PUFAs totals,N.D.,3454
LABSQUI,"Quitotriosidasa, sèrum",N.D.,3455
LABSRIF,"Somatostatina (SRIF), plasma",N.D.,3456
LABSRIFL,"Somatostatina (SRIF),LCR",pg/mL,4790
LABSRLDBS,Sirolimus - DBS,N.D.,3457
LABSRP,"Ac miositis, anti-SRP (Dot-Blot)",N.D.,3458
LABSRTRITE,Ràtio triè:tetraè (C20:3w9/C20,N.D.,3459
LABSSAALAN,a_Alanina,µmol/L,3460
LABSSAAMIN,a_Aminobutíric,µmol/L,3461
LABSSACNTN,Comentario,N.D.,3462
LABSSAGAL,"Alfa-Galactosidasa A, sangre sec",µmols/Lxhora,3463
LABSSAGLU,"Alfa-1,4-glucosidasa, sangre sec",nmols/21hxdisco,3464
LABSSARGI,Arginina,µmol/L,3465
LABSSASPG,Asparragina,µmol/L,3466
LABSSASPT,Aspártico,µmol/L,3467
LABSSBALAN,b_Alanina,µmol/L,3468
LABSSC0,Carnitina libre,µmol/L,3469
LABSSC0C16,C0/ (C16 +C18),N.D.,3470
LABSSC10,Decanoilcarnitina,µmol/L,3471
LABSSC101,Decenoilcarnitina,µmol/L,3472
LABSSC102,Decadienoilcarnitina,µmol/L,3473
LABSSC12,Dodecanoilcarnitina,µmol/L,3474
LABSSC121,Dodecenoilcarnitina,µmol/L,3475
LABSSC14,Tetradecanoilcarnitina,µmol/L,3476
LABSSC141,Tetradecenoilcarnitina,µmol/L,3477
LABSSC1411,C14:1/C16,N.D.,3478
LABSSC141C,C14:1/C2,N.D.,3479
LABSSC142,Tetradecadienoilcarnitina,µmol/L,3480
LABSSC14OH,3-OH-tetradecanoilcarnitina,µmol/L,3481
LABSSC16,Hexadecanoilcarnitina,µmol/L,3482
LABSSC161,Hexadecenoilcarnitina,µmol/L,3483
LABSSC1618,C16 + C18:1/C2,N.D.,3484
LABSSC161O,3OHhexadecheptadecanoilcar,µmol/L,3485
LABSSC16C1,C16OH/C14,N.D.,3486
LABSSC16C2,C16OH/C2,N.D.,3487
LABSSC16OH,3-OH-hexadecanoilcarnitina,µmol/L,3488
LABSSC18,Octadecanoilcarnitina,µmol/L,3489
LABSSC181,Octadecenoilcarnitina,µmol/L,3490
LABSSC181O,3-OH-octadecenoilcarnitina,µmol/L,3491
LABSSC182,Octadecadienoilcarnitina,µmol/L,3492
LABSSC1820,3-Hidroxi-octadecadienoilcarni,µmol/L,3493
LABSSC18OH,3-OH-octadecanoilcarnitina,µmol/L,3494
LABSSC2,Acetilcarnitina,µmol/L,3495
LABSSC20,Eicosanoilcarnitina,µmol/L,3496
LABSSC22,Lisofosfatidilcolina C22:0,µmol/L,4791
LABSSC22D,Docosanoilcarnitina,µmol/L,3497
LABSSC22L,Docosanoilcarnitina,µmol/L,3498
LABSSC24,Lisofosfatidilcolina C24:0,N.D.,3499
LABSSC24C2,C24+C26/C22,N.D.,3500
LABSSC24L,Tetracosanoilcarnitina,µmol/L,3501
LABSSC24T,Tetracosanoilcarnitina,µmol/L,3502
LABSSC26,Lisofosfatidilcolina C26:0,N.D.,3503
LABSSC26H,Hexacosanoilcarnitina,µmol/L,3504
LABSSC26L,Hexacosanoilcarnitina,µmol/L,3505
LABSSC3,Propionilcarnitina,µmol/L,3506
LABSSC34DC,C4DCC5OH/C2,N.D.,3507
LABSSC3C2,C3/C2,N.D.,3508
LABSSC3DC,C3DCC4OH/C2,N.D.,3509
LABSSC4,"Butiril,isobutirilcarnitina",µmol/L,3510
LABSSC4C2,C4/C2,N.D.,3511
LABSSC4OHC,"Malonil3OHiso,butirilcarnit",µmol/L,3512
LABSSC5,"Isovaleril,2-metil-butirilcarnit",µmol/L,3513
LABSSC51,"Tiglil,3-metilcrotonilcarnitina",µmol/L,3514
LABSSC5C2,C5/C2,N.D.,3515
LABSSC5DC,Glutaril3OHhexanoilcarnitin,µmol/L,3516
LABSSC5DC6,C5DCC6OH/C16,N.D.,3517
LABSSC5DCC,C5DCC6OH/C3DCC4OH,N.D.,3518
LABSSC5OH,"Metilm,succi3OHisov,2M3OHbut",µmol/L,3519
LABSSC6,Hexanoilcarnitina,µmol/L,3520
LABSSC6DC,"Adipil,3-metilglutarilcarnitina",µmol/L,3521
LABSSC8,Octanoilcarnitina,µmol/L,3522
LABSSC81,Octenoilcarnitina,µmol/L,3523
LABSSC8C10,C8/C10,N.D.,3524
LABSSC8C2,C8/C2,N.D.,3525
LABSSCIST,Cistationina,µmol/L,3526
LABSSCISTI,Cistina,µmol/L,3527
LABSSCITRU,Citrulina,µmol/L,3528
LABSSCOMEN,Comentario,N.D.,3529
LABSSETAN,Etanolamina,µmol/L,3530
LABSSFENI,Fenilalanina,µmol/L,3531
LABSSFET,Fosfoetanolamina,µmol/L,3532
LABSSGLIC,Glicina,N.D.,3533
LABSSGLUTA,Glutamina,N.D.,3534
LABSSGLUTO,Glutàmic,N.D.,3535
LABSSHTD,Histidina,N.D.,3536
LABSSINT,Comentario,N.D.,3537
LABSSISOL,Isoleucina,N.D.,3538
LABSSITO,Sitosterol,N.D.,3539
LABSSLEUC,Leucina,N.D.,3540
LABSSLIP,Lipasa àcida lisosomal (malalt,N.D.,3541
LABSSLISI,Lisina,N.D.,3542
LABSSLISSM,LisoSM (lisoesfingomielina),N.D.,3543
LABSSMETIO,Metionina,N.D.,3544
LABSSOHP,Hidroxiprolina,N.D.,3545
LABSSORNI,Ornitina,N.D.,3546
LABSSPHEMG,Fenilalanina,mg/dL,3547
LABSSPHEMO,Fenilalanina,µmol/L,3548
LABSSPROL,Prolina,N.D.,3549
LABSSSERI,Serina,N.D.,3550
LABSSTAU,Taurina,N.D.,3551
LABSSTIRO,Tirosina,N.D.,3552
LABSSTRECI,Interpretació,N.D.,3553
LABSSTRECS,"TRECS, sang seca",N.D.,3554
LABSSTREO,Treonina,N.D.,3555
LABSSTRIP,Triptòfan,N.D.,3556
LABSSTYR,Tirosina,N.D.,3557
LABSSVALIN,Valina,N.D.,3558
LABSTARF,Gen StAR-mutación concreta (ca,N.D.,4792
LABSTAT5,Estudio fosforilación STAT5 (IL2,N.D.,3559
LABSTOSG,"IgG virus Toscana, sèrum",N.D.,4793
LABSTOSM,"IgGM virus Toscana, sèrum",N.D.,4794
LABSTRF,"Saturación transferrina, serum",NA,3560
LABSTRO,Ac IgG anti-Strongloides stercor,N.D.,3561
LABSTWEST,"RT-PCR virus West Nile, sang t",N.D.,3562
LABSUBA,"Subunitat alfa,sèrum",N.D.,3563
LABSUBLT,Subtipus de limfòcits T,N.D.,3564
LABSUBLT19,Subtipus de limfòcits T,N.D.,3565
LABSUBSP,"Substància P,plasma",pg/mL,4795
LABSULBA,"Sulbactam, plasma LC/MS/MS",µg/mL,3566
LABSULFO,Sulfocisteina sèrum,N.D.,3567
LABSULFOO,Sulfocisteina orina,N.D.,3568
LABSVEGF,"VEGFR1 soluble, sèrum",N.D.,3569
LABSW3TOTA,w3 totals,N.D.,3570
LABSW6TOTA,w6 totals,N.D.,3571
LABSWEST,"RT-PCR virus West Nile, sèrum",N.D.,3572
LABT111,IgE Plàtan dombra (t11)-cl.,N.D.,3573
LABT112,IgE Plàtan dombra (t11)-conc.,N.D.,3574
LABT13R,Risc S. Patau,N.D.,3575
LABT13RT,Risc S. Patau segon bessò,N.D.,3576
LABT15I,"t15-IgE Freixe americà, sèrum",N.D.,3577
LABT15II,"t15-IgE Freixe americà, sèrum",N.D.,3578
LABT16I,IgE t16 - Pi (Pinus strobus) (,N.D.,3579
LABT16II,"IgE t16 - Pi (Pinus strobus),",N.D.,3580
LABT18I,IgE t18 - Eucaliptus (Eucalypt,N.D.,3581
LABT18II,IgE t18 - Eucaliptus (Eucalypt,N.D.,3582
LABT18R,Risc S. Edwards,N.D.,3583
LABT18RT,Risc S. Edwards segon bessò,N.D.,3584
LABT215I,IgE Bet v 1 abedul (t215)-cl.,N.D.,3585
LABT215II,IgE Bet v 1 abedul (t215)-conc,N.D.,3586
LABT21R,Risc S. Down,N.D.,3587
LABT21RT,Risc S. Down segon bessò,N.D.,3588
LABT222I,t222-IgE Xiprer(Cupressus ariz,N.D.,3589
LABT222II,t222-IgE Xiprer(Cupressus ariz,N.D.,3590
LABT224I,"t3- Bedoll (Betula verrucosa),",N.D.,3591
LABT224II,"t3- Bedoll (Betula verrucosa),",N.D.,3592
LABT226I,IgE Cup a  1 ciprés (t226)-cl.,N.D.,3593
LABT226II,IgE Cup a  1 ciprés (t226)-con,N.D.,3594
LABT227I,IgE Ole e 7 LTP Olivo (t227)-c,N.D.,3595
LABT227II,IgE Ole e 7 LTP Olivo (t227)-c,N.D.,3596
LABT231,IgE Xiprer (t23)-cl.,N.D.,3597
LABT232,IgE Xiprer (t23)-conc,N.D.,3598
LABT240I,IgE Ole e 9 LTP Olivo (t240)-c,N.D.,3599
LABT240II,IgE Ole e 9 LTP Olivo (t240)-c,N.D.,3600
LABT241I,IgE rPla a 1 plàtan dombra (t,N.D.,3601
LABT241II,IgE rPla a 1 plàtan dombra (t,N.D.,3602
LABT3,Triodetironina serum,ng/mL,3603
LABT3I,"t3- Bedoll (Betula verrucosa),",N.D.,3604
LABT3II,"t3- Bedoll (Betula verrucosa),",N.D.,3605
LABT6I,t6 - IgE Savina (Juniperus sab,N.D.,3606
LABT6II,t6 - IgE Savina (Juniperus sab,N.D.,3607
LABT91,IgE Olivera (t9)-cl.,N.D.,3608
LABT92,IgE Olivera (t9)-conc.,N.D.,3609
LABTAB,"Test activació basòfil (TAB),",N.D.,3610
LABTACDBS,Tacrolimus - DBS,N.D.,3611
LABTACM10H,Tacròlimus en sang (LC/MS) 10,ng/mL,4796
LABTACM12H,Tacròlimus en sang (LC/MS) 12,ng/mL,4797
LABTACM1H,Tacròlimus en sang (LC/MS) 1 h,N.D.,3612
LABTACM2H,Tacròlimus en sang (LC/MS) 2 h,N.D.,3613
LABTACM30,Tacròlimus en sang (LC/MS) 30,N.D.,3614
LABTACM3H,Tacròlimus en sang (LC/MS) 3 h,N.D.,3615
LABTACM4H,Tacròlimus en sang (LC/MS) 4 h,N.D.,3616
LABTACM6H,Tacròlimus en sang (LC/MS) 6 h,N.D.,3617
LABTACM8H,Tacròlimus en sang (LC/MS) 8 h,ng/mL,4798
LABTACMB,Tacròlimus en sang (LC/MS) 0 m,N.D.,3618
LABTACMS,Tacròlimus (CL/MS),N.D.,3619
LABTAGC,"TAG 72, líquid",N.D.,3620
LABTAR,Test dantígen SARS-CoV-2,N.D.,3621
LABTARSP,"Test dantígen SARS-CoV-2, seg",N.D.,3622
LABTASIG,"Ac IgG anti-Taenia solium, sérum",N.D.,3623
LABTATR,"Complejos trombina-antitrombina,",N.D.,3624
LABTAUOO,"3-metil-histidina (3MH),orina",N.D.,3625
LABTAUP,"Taurina (TAU), plasma",N.D.,3626
LABTAUS,"Tau, sèrum",N.D.,3627
LABTAZOB,"Tazobactam, plasma LC/MS/MS",µg/mL,3628
LABTBETA,Gen del receptor dhormones ti,N.D.,3629
LABTBG,Globulina transportadora de ti,N.D.,3630
LABTC,Cariotipo en tejido,U/campo,3631
LABTCD3,"Test de coombs directe C3, sèr",N.D.,3632
LABTCDG,"Test de coombs directe IgG, sè",N.D.,3633
LABTCDRN,Test de Coombs directo del nad,N.D.,3634
LABTCIN,"Test de Coombs indirecte,sang",N.D.,3635
LABTCRGDEP,"Limf Tgd, % de lepiteli",N.D.,3636
LABTCRGDLI,"Limf Tgd, % de LIE",N.D.,3637
LABTCRU,"Ac IgG anti-Trypanosoma cruzi, s",N.D.,3638
LABTDE,Testosterona directa serum,ng/dL,3639
LABTE,Testosterona específica,ng/dL,4799
LABTECLR,Tècnica (LR),N.D.,3640
LABTELU,"Test deluit, sèrum",N.D.,3641
LABTELURN,Test Eluit del nadó,N.D.,3642
LABTEMB,EMBAR fur:,N.D.,4800
LABTEMPS5,Temps de diuresi 5 hores,N.D.,3643
LABTEMPSA,Temps de diuresi àcida,N.D.,3644
LABTEMPST,Temps de diuresi tampó,N.D.,3645
LABTEPB,Tub plasma Biobanc,N.D.,3646
LABTERM,Estabilidad térmica de la hemogl,N.D.,3647
LABTERMOSH,Termoestabilitat de membrana e,N.D.,3648
LABTESB,Tub sèrum Biobanc,N.D.,3649
LABTETGEI,Interpretació i recomanacions,N.D.,4801
LABTFC,Cariotipo en tejido fetal,N.D.,3650
LABTFSU,FISH sonda única en teixit,N.D.,3651
LABTGB,Text genèric i bibliografia,N.D.,3652
LABTGE,Tiroglobulina serum,ng/mL,3653
LABTGF,Factor de crecimiento transforma,ng/mL,3654
